# shift_cm-1 intensity_mean intensity_std
214.396113 216.640601 6.582597
216.075221 214.335563 6.530896
217.754329 215.594848 7.934421
219.433437 217.948074 8.495776
221.112545 221.209233 7.721868
222.791653 221.128168 8.095860
224.470761 220.437623 8.532961
226.149869 219.583890 8.911350
227.828977 221.239269 9.385211
229.508085 224.399892 9.190225
231.187193 229.446033 7.725093
232.866301 228.163784 7.064273
234.545409 226.084695 5.754146
236.224517 224.079401 3.092821
237.903625 223.386113 2.851765
239.582733 223.759641 2.831140
241.261841 225.501524 2.286309
242.940949 226.380121 2.304380
244.620057 226.168010 2.567383
246.299165 224.553186 4.171194
247.978273 226.238407 3.406986
249.657381 227.475417 2.694512
251.336489 227.785426 2.349987
253.015597 225.397993 1.091335
254.694705 223.952610 1.620463
256.373813 223.813305 4.359600
258.052921 224.524350 5.340584
259.732029 225.104624 6.778922
261.411137 225.513189 8.582137
263.090245 224.833313 7.451929
264.769353 225.191695 6.881198
266.448461 226.608965 7.292531
268.127569 229.761432 7.106713
269.806677 232.015488 5.972337
271.485785 233.427805 3.741140
273.164893 233.644577 2.318860
274.844001 233.858508 0.698789
276.523109 234.297750 1.412519
278.202217 237.153458 2.345161
279.881325 237.063178 2.852570
281.560433 235.113934 2.941364
283.239541 233.754577 4.341635
284.918649 231.563624 5.009264
286.597757 229.130245 6.616409
288.276865 227.867332 4.564035
289.955973 227.058080 4.274710
291.635081 226.970789 4.340713
293.314189 228.900895 2.264122
294.993297 232.146454 1.566895
296.672405 235.501617 2.137816
298.351513 237.660139 2.544737
300.030621 238.281592 3.818662
301.709729 238.926731 4.853230
303.388837 240.743578 4.623355
305.067945 244.855834 5.410725
306.747053 249.664778 5.967526
308.426161 254.824758 6.454307
310.105269 256.903621 6.811036
311.784377 259.829866 6.835453
313.463485 264.782741 6.655198
315.142593 270.590483 4.838224
316.821701 276.394055 3.992087
318.500809 282.103445 3.433533
320.179917 284.673200 4.104921
321.859025 288.087452 4.924414
323.538133 292.358581 7.392011
325.217241 295.782207 9.002768
326.896349 293.122023 9.228495
328.575457 285.777825 8.625521
330.254565 278.104382 8.752090
331.933673 271.781976 7.792679
