Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1093.38	44285	
1095.51	41770	
1097.62	40857	
1099.74	39710	
1101.86	38601	
1103.98	36926	
1106.09	35188	
1108.21	33821	
1110.32	32582	
1112.43	31789	
1114.55	30008	
1116.66	29588	
1118.77	28339	
1120.88	27511	
1122.99	26405	
1125.1	25920	
1127.2	24725	
1129.31	23942	
1131.41	22973	
1133.52	22510	
1135.62	21713	
1137.72	21345	
1139.82	20346	
1141.92	19625	
1144.02	18964	
1146.12	18583	
1148.22	17677	
1150.31	17425	
1152.41	16964	
1154.5	16826	
1156.6	15766	
1158.69	15659	
1160.78	15505	
1162.87	14946	
1164.96	14710	
1167.05	14121	
1169.13	13799	
1171.22	13667	
1173.31	13372	
1175.39	13253	
1177.48	12915	
1179.56	12507	
1181.64	12215	
1183.72	11922	
1185.8	11770	
1187.88	11804	
1189.96	11331	
1192.04	11103	
1194.11	10930	
1196.19	10845	
1198.26	10583	
1200.34	10677	
1202.41	10213	
1204.48	9941	
1206.55	10115	
1208.62	9704	
1210.69	9593	
1212.76	9590	
1214.83	9385	
1216.89	9243	
1218.96	9419	
1221.02	9244	
1223.09	9118	
1225.15	9207	
1227.21	8882	
1229.27	8927	
1231.33	8809	
1233.39	8619	
1235.45	8733	
1237.51	8823	
1239.56	8768	
1241.62	8594	
1243.67	8794	
1245.72	8763	
1247.78	8710	
1249.83	8804	
1251.88	8972	
1253.93	9003	
1255.98	8954	
1258.02	9431	
1260.07	9521	
1262.11	9778	
1264.16	9705	
1266.21	10259	
1268.25	10523	
1270.29	10846	
1272.33	11472	
1274.37	11801	
1276.41	12394	
1278.45	12911	
1280.49	13294	
1282.52	14106	
1284.56	14613	
1286.6	15167	
1288.63	15319	
1290.66	15831	
1292.69	15586	
1294.73	15690	
1296.76	15093	
1298.79	14469	
1300.81	14572	
1302.84	13815	
1304.87	13106	
1306.89	12572	
1308.92	11820	
1310.94	11382	
1312.96	10927	
1314.99	10501	
1317.01	9869	
1319.03	9742	
1321.05	9290	
1323.07	9315	
1325.08	8747	
1327.1	8624	
1329.12	8434	
1331.13	8083	
1333.14	7899	
1335.16	7778	
1337.17	7535	
1339.18	7411	
1341.19	7456	
1343.2	7351	
1345.21	7068	
1347.22	7256	
1349.22	6979	
1351.23	7052	
1353.24	6841	
1355.24	6816	
1357.24	6669	
1359.24	6641	
1361.25	6493	
1363.25	6445	
1365.25	6417	
1367.24	6592	
1369.24	6579	
1371.24	6590	
1373.23	6565	
1375.23	6562	
1377.22	6471	
1379.22	6320	
1381.21	6496	
1383.2	6486	
1385.19	6336	
1387.18	6248	
1389.17	6369	
1391.16	6292	
1393.14	6564	
1395.13	6532	
1397.12	6489	
1399.1	6381	
1401.08	6517	
1403.07	6442	
