Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1131.41	453	
1133.52	456	
1135.62	455	
1137.72	454	
1139.82	437	
1141.92	433	
1144.02	420	
1146.12	412	
1148.22	426	
1150.31	423	
1152.41	433	
1154.5	427	
1156.6	420	
1158.69	415	
1160.78	396	
1162.87	404	
1164.96	391	
1167.05	383	
1169.13	379	
1171.22	380	
1173.31	393	
1175.39	381	
1177.48	381	
1179.56	376	
1181.64	379	
1183.72	389	
1185.8	380	
1187.88	383	
1189.96	372	
1192.04	375	
1194.11	374	
1196.19	359	
1198.26	368	
1200.34	358	
1202.41	366	
1204.48	358	
1206.55	360	
1208.62	369	
1210.69	355	
1212.76	366	
1214.83	358	
1216.89	352	
1218.96	368	
1221.02	362	
1223.09	373	
1225.15	370	
1227.21	372	
1229.27	378	
1231.33	374	
1233.39	377	
1235.45	368	
1237.51	360	
1239.56	363	
1241.62	361	
1243.67	360	
1245.72	362	
1247.78	372	
1249.83	377	
1251.88	376	
1253.93	373	
1255.98	382	
1258.02	381	
1260.07	382	
1262.11	377	
1264.16	380	
1266.21	391	
1268.25	396	
1270.29	398	
1272.33	407	
1274.37	417	
1276.41	429	
1278.45	444	
1280.49	447	
1282.52	446	
1284.56	457	
1286.6	456	
1288.63	461	
1290.66	467	
1292.69	475	
1294.73	484	
1296.76	495	
1298.79	513	
1300.81	514	
1302.84	519	
1304.87	528	
1306.89	537	
1308.92	553	
1310.94	563	
1312.96	593	
1314.99	618	
1317.01	645	
1319.03	666	
1321.05	684	
1323.07	712	
1325.08	735	
1327.1	762	
1329.12	784	
1331.13	803	
1333.14	826	
1335.16	836	
1337.17	834	
1339.18	833	
1341.19	834	
1343.2	832	
1345.21	816	
1347.22	803	
1349.22	776	
1351.23	744	
1353.24	715	
1355.24	685	
1357.24	654	
1359.24	635	
1361.25	619	
1363.25	603	
1365.25	579	
1367.24	567	
1369.24	545	
1371.24	523	
1373.23	498	
1375.23	478	
1377.22	468	
1379.22	466	
1381.21	461	
1383.2	463	
1385.19	451	
1387.18	450	
1389.17	436	
1391.16	427	
1393.14	410	
1395.13	393	
1397.12	378	
1399.1	379	
1401.08	377	
1403.07	382	
1405.05	377	
1407.03	377	
1409.01	383	
1410.99	385	
1412.96	381	
1414.94	370	
1416.92	360	
1418.89	371	
1420.87	371	
1422.84	365	
1424.81	366	
1426.79	367	
1428.76	372	
1430.73	366	
1432.7	368	
1434.66	368	
1436.63	364	
1438.6	370	
1440.57	375	
1442.53	373	
1444.49	380	
1446.46	377	
1448.42	381	
1450.38	376	
1452.34	370	
1454.3	365	
1456.26	357	
1458.21	358	
1460.17	360	
1462.13	341	
1464.08	337	
1466.04	338	
1467.99	346	
1469.94	349	
1471.89	352	
1473.85	362	
1475.8	371	
1477.74	378	
1479.69	378	
1481.64	368	
1483.58	374	
1485.53	380	
1487.47	385	
1489.42	389	
1491.36	383	
1493.3	382	
1495.24	382	
1497.18	379	
1499.12	381	
1501.06	374	
1503	385	
1504.94	386	
1506.87	398	
1508.81	403	
1510.74	397	
1512.67	391	
1514.6	398	
1516.54	397	
1518.47	402	
1520.4	402	
1522.33	412	
1524.25	421	
1526.18	435	
1528.11	442	
1530.03	437	
1531.96	435	
1533.88	437	
1535.8	439	
1537.73	444	
1539.65	450	
1541.57	464	
1543.49	476	
1545.4	490	
1547.32	513	
1549.24	517	
1551.15	540	
1553.07	569	
1554.98	593	
1556.9	615	
1558.81	641	
1560.72	677	
1562.63	702	
1564.54	738	
1566.45	750	
1568.36	740	
1570.26	749	
1572.17	739	
1574.08	710	
1575.98	681	
1577.88	673	
1579.79	667	
1581.69	667	
1583.59	670	
1585.49	657	
1587.39	654	
1589.29	653	
1591.19	640	
1593.08	613	
1594.98	596	
1596.87	583	
1598.77	556	
1600.66	542	
1602.55	533	
1604.45	538	
1606.34	553	
1608.23	551	
1610.12	563	
1612	535	
1613.89	531	
1615.78	507	
1617.66	473	
1619.55	451	
1621.43	427	
1623.32	415	
1625.2	398	
1627.08	383	
1628.96	395	
1630.84	397	
1632.72	404	
1634.6	397	
1636.48	379	
1638.35	394	
1640.23	377	
1642.1	374	
1643.98	360	
1645.85	367	
1647.72	381	
1649.59	396	
1651.46	386	
1653.33	367	
1655.2	362	
1657.07	378	
1658.94	356	
1660.8	356	
1662.67	341	
1664.53	349	
1666.4	343	
1668.26	331	
1670.12	328	
1671.98	320	
1673.84	322	
1675.7	328	
1677.56	338	
1679.42	343	
1681.28	342	
1683.13	352	
1684.99	334	
1686.84	321	
1688.7	324	
1690.55	313	
1692.4	321	
1694.25	325	
1696.1	339	
1697.95	337	
1699.8	315	
1701.65	300	
1703.49	282	
1705.34	272	
1707.19	271	
1709.03	282	
1710.87	313	
1712.72	321	
1714.56	336	
1716.4	348	
1718.24	321	
1720.08	322	
1721.92	313	
1723.76	317	
1725.6	317	
