Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1093.38	43656	
1095.51	42017	
1097.62	40575	
1099.74	39839	
1101.86	38240	
1103.98	36847	
1106.09	35262	
1108.21	34114	
1110.32	32910	
1112.43	31577	
1114.55	30421	
1116.66	29514	
1118.77	28310	
1120.88	27378	
1122.99	26583	
1125.1	25990	
1127.2	24412	
1129.31	23788	
1131.41	22942	
1133.52	22277	
1135.62	21420	
1137.72	20801	
1139.82	20645	
1141.92	19816	
1144.02	19111	
1146.12	18527	
1148.22	18075	
1150.31	17428	
1152.41	17055	
1154.5	16780	
1156.6	16265	
1158.69	15913	
1160.78	15357	
1162.87	14766	
1164.96	14735	
1167.05	14355	
1169.13	13913	
1171.22	13754	
1173.31	13380	
1175.39	13085	
1177.48	12750	
1179.56	12401	
1181.64	12102	
1183.72	11699	
1185.8	11648	
1187.88	11438	
1189.96	11416	
1192.04	11276	
1194.11	10899	
1196.19	10671	
1198.26	10660	
1200.34	10253	
1202.41	10369	
1204.48	10048	
1206.55	10135	
1208.62	9745	
1210.69	9774	
1212.76	9614	
1214.83	9473	
1216.89	9329	
1218.96	9181	
1221.02	9188	
1223.09	9258	
1225.15	8991	
1227.21	8989	
1229.27	8857	
1231.33	8853	
1233.39	8966	
1235.45	8649	
1237.51	8882	
1239.56	8633	
1241.62	8761	
1243.67	8806	
1245.72	8826	
1247.78	8724	
1249.83	8978	
1251.88	8980	
1253.93	8964	
1255.98	8984	
1258.02	9309	
1260.07	9458	
1262.11	9951	
1264.16	9691	
1266.21	10097	
1268.25	10433	
1270.29	10738	
1272.33	11421	
1274.37	11625	
1276.41	12350	
1278.45	12975	
1280.49	13384	
1282.52	14195	
1284.56	14491	
1286.6	15086	
1288.63	15406	
1290.66	15575	
1292.69	15571	
1294.73	15650	
1296.76	15140	
1298.79	14906	
1300.81	14388	
1302.84	13615	
1304.87	13316	
1306.89	12551	
1308.92	11934	
1310.94	11549	
1312.96	10998	
1314.99	10233	
1317.01	10052	
1319.03	9814	
1321.05	9510	
1323.07	9040	
1325.08	8797	
1327.1	8637	
1329.12	8322	
1331.13	7996	
1333.14	8007	
1335.16	7818	
1337.17	7703	
1339.18	7358	
1341.19	7283	
1343.2	7293	
1345.21	7052	
1347.22	7051	
1349.22	7008	
1351.23	7009	
1353.24	7005	
1355.24	6889	
1357.24	6769	
1359.24	6779	
1361.25	6733	
1363.25	6534	
1365.25	6881	
1367.24	6622	
1369.24	6633	
1371.24	6573	
1373.23	6544	
1375.23	6605	
1377.22	6546	
1379.22	6574	
1381.21	6507	
1383.2	6287	
1385.19	6347	
1387.18	6294	
1389.17	6380	
1391.16	6394	
1393.14	6427	
1395.13	6491	
1397.12	6416	
1399.1	6435	
1401.08	6540	
1403.07	6616	
1405.05	6510	
1407.03	6479	
1409.01	6578	
1410.99	6539	
1412.96	6583	
1414.94	6522	
1416.92	6680	
1418.89	6576	
1420.87	6679	
1422.84	6676	
1424.81	6800	
1426.79	6809	
1428.76	6611	
1430.73	6817	
1432.7	6753	
1434.66	6787	
1436.63	6801	
1438.6	6953	
1440.57	6976	
1442.53	6850	
1444.49	6995	
1446.46	6942	
1448.42	7187	
1450.38	7179	
1452.34	7308	
1454.3	7307	
1456.26	7526	
