Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
102.32	12	
104.89	16	
107.46	17	
110.02	22	
112.59	21	
115.15	21	
117.71	20	
120.27	23	
122.83	35	
125.39	57	
127.95	97	
130.51	155	
133.06	227	
135.61	312	
138.17	403	
140.72	495	
143.27	579	
145.82	653	
148.37	706	
150.91	742	
153.46	758	
156.01	763	
158.55	764	
161.09	766	
163.63	760	
166.18	756	
168.71	747	
171.25	741	
173.79	740	
176.32	736	
178.86	730	
181.39	726	
183.92	719	
186.46	710	
188.99	705	
191.52	706	
194.04	704	
196.57	704	
199.09	702	
201.62	704	
204.14	703	
206.66	705	
209.18	706	
211.7	707	
214.22	706	
216.74	705	
219.25	708	
221.77	711	
224.29	714	
226.8	722	
229.31	725	
231.82	723	
234.33	726	
236.84	731	
239.34	735	
241.85	738	
244.35	742	
246.86	747	
249.36	748	
251.86	749	
254.36	753	
256.86	754	
259.36	751	
261.86	750	
264.35	756	
266.84	758	
269.34	759	
271.83	761	
274.32	766	
276.81	772	
279.3	776	
281.79	783	
284.27	789	
286.76	792	
289.24	798	
291.73	805	
294.21	806	
296.69	808	
299.17	806	
301.65	813	
304.13	816	
306.61	825	
309.08	853	
311.56	905	
314.03	959	
316.5	1013	
318.97	1053	
321.44	1072	
323.91	1068	
326.38	1051	
328.84	1017	
331.31	975	
333.77	927	
336.24	887	
338.7	868	
341.16	871	
343.62	869	
346.08	873	
348.54	878	
350.99	879	
353.45	879	
355.9	879	
358.36	879	
360.81	881	
363.26	881	
365.71	879	
368.16	879	
370.6	880	
373.05	876	
375.49	876	
377.94	875	
380.38	872	
382.82	869	
385.27	869	
387.7	867	
390.14	871	
392.58	869	
395.02	871	
397.45	875	
399.89	875	
402.32	875	
404.75	878	
407.19	879	
409.61	882	
412.04	884	
414.47	883	
416.9	881	
419.32	884	
421.75	883	
424.17	883	
426.59	887	
429.01	889	
431.43	891	
433.85	900	
436.27	905	
438.69	910	
441.1	907	
443.52	906	
445.93	900	
448.34	898	
450.75	892	
453.17	884	
455.57	875	
457.98	869	
460.39	859	
462.8	852	
465.2	842	
467.6	836	
470	831	
472.41	832	
474.81	833	
477.21	838	
479.61	839	
482	842	
484.4	844	
486.79	846	
489.19	837	
491.58	820	
493.97	796	
496.36	771	
498.75	744	
501.14	713	
503.53	680	
505.91	648	
508.3	624	
510.68	602	
513.07	582	
515.45	562	
517.83	547	
520.21	530	
522.59	519	
524.97	510	
527.34	504	
529.72	496	
532.09	489	
534.47	485	
536.84	484	
539.21	477	
541.58	470	
