Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
102.32	49	
104.89	20	
107.46	57	
110.02	74	
112.59	41	
115.15	90	
117.71	68	
120.27	36	
122.83	33	
125.39	52	
127.95	19	
130.51	79	
133.06	110	
135.61	162	
138.17	142	
140.72	243	
143.27	270	
145.82	219	
148.37	271	
150.91	247	
153.46	261	
156.01	230	
158.55	245	
161.09	245	
163.63	360	
166.18	266	
168.71	279	
171.25	298	
173.79	328	
176.32	256	
178.86	349	
181.39	271	
183.92	317	
186.46	325	
188.99	320	
191.52	260	
194.04	313	
196.57	280	
199.09	300	
201.62	284	
204.14	238	
206.66	312	
209.18	310	
211.7	252	
214.22	310	
216.74	301	
219.25	230	
221.77	262	
224.29	294	
226.8	245	
229.31	286	
231.82	274	
234.33	249	
236.84	332	
239.34	323	
241.85	273	
244.35	289	
246.86	296	
249.36	324	
251.86	269	
254.36	298	
256.86	256	
259.36	294	
261.86	313	
264.35	286	
266.84	293	
269.34	306	
271.83	284	
274.32	280	
276.81	353	
279.3	279	
281.79	298	
284.27	316	
286.76	327	
289.24	268	
291.73	401	
294.21	383	
296.69	301	
299.17	335	
301.65	354	
304.13	333	
306.61	315	
309.08	354	
311.56	337	
314.03	343	
316.5	426	
318.97	426	
321.44	438	
323.91	387	
326.38	381	
328.84	407	
331.31	428	
333.77	373	
336.24	375	
338.7	365	
341.16	337	
343.62	406	
346.08	364	
348.54	334	
350.99	360	
353.45	360	
355.9	324	
358.36	348	
360.81	359	
363.26	358	
365.71	381	
368.16	348	
370.6	305	
373.05	405	
375.49	368	
377.94	367	
380.38	370	
382.82	351	
385.27	330	
387.7	368	
390.14	311	
392.58	331	
395.02	317	
397.45	335	
399.89	336	
402.32	329	
404.75	395	
407.19	388	
409.61	411	
412.04	400	
414.47	328	
416.9	382	
419.32	308	
421.75	393	
424.17	322	
426.59	334	
429.01	297	
431.43	316	
433.85	386	
436.27	365	
438.69	388	
441.1	390	
443.52	361	
445.93	423	
448.34	416	
450.75	346	
453.17	378	
455.57	354	
457.98	295	
460.39	368	
462.8	297	
465.2	307	
467.6	375	
470	363	
472.41	369	
474.81	395	
477.21	377	
479.61	350	
482	315	
484.4	354	
486.79	387	
489.19	378	
491.58	229	
493.97	322	
496.36	351	
498.75	233	
501.14	271	
503.53	341	
505.91	308	
508.3	250	
510.68	256	
513.07	226	
515.45	300	
517.83	212	
520.21	246	
522.59	292	
524.97	175	
527.34	274	
529.72	269	
532.09	241	
534.47	191	
536.84	285	
539.21	256	
541.58	213	
543.95	168	
546.32	217	
548.68	174	
551.05	190	
553.41	228	
555.78	232	
558.14	192	
560.5	211	
562.87	244	
565.22	238	
567.58	197	
569.94	236	
572.29	197	
574.65	190	
577.01	224	
579.36	196	
581.71	180	
584.06	236	
586.41	230	
588.76	226	
591.11	232	
593.45	218	
595.8	208	
598.15	251	
600.49	250	
602.83	208	
605.17	232	
607.51	220	
609.85	221	
612.19	197	
614.53	207	
616.87	192	
619.2	185	
621.53	210	
623.87	208	
626.2	231	
628.53	251	
630.86	247	
633.19	287	
635.52	222	
637.85	265	
640.17	206	
642.5	199	
644.82	186	
647.14	231	
649.46	201	
651.78	235	
654.1	200	
656.42	194	
658.74	208	
661.06	234	
663.37	199	
665.68	212	
668	237	
670.31	253	
672.62	203	
674.93	219	
677.24	226	
679.55	162	
681.86	229	
684.16	221	
686.47	213	
688.77	233	
691.07	273	
693.37	246	
695.68	261	
697.98	286	
700.27	276	
702.57	266	
704.87	231	
707.16	246	
709.46	271	
711.75	317	
714.04	295	
716.34	283	
718.63	337	
720.91	297	
723.2	337	
725.49	419	
727.78	371	
730.06	416	
732.35	444	
734.63	424	
736.91	409	
739.19	491	
741.47	492	
743.75	486	
746.03	602	
748.31	578	
750.58	632	
752.86	698	
755.13	771	
757.4	743	
759.68	779	
761.95	875	
764.22	1023	
766.49	1049	
768.75	1084	
771.02	1165	
773.29	1244	
775.55	1343	
777.81	1438	
780.08	1468	
782.34	1553	
784.6	1750	
786.86	1879	
789.12	2012	
791.37	2074	
793.63	2074	
795.89	2285	
798.14	2261	
800.4	2404	
802.65	2573	
804.9	2691	
807.15	2646	
809.4	2895	
811.65	2925	
813.9	2948	
816.14	3179	
818.39	3047	
820.63	3299	
822.88	3287	
825.12	3342	
827.36	3489	
829.6	3411	
831.84	3568	
834.08	3531	
836.31	3701	
838.55	3624	
840.79	3638	
843.02	3812	
845.25	3887	
847.49	3808	
849.72	3960	
851.95	3913	
854.18	3942	
856.41	4119	
858.63	4148	
860.86	4311	
863.08	4102	
865.31	4295	
867.53	4618	
869.76	4304	
871.97	4502	
874.2	4648	
876.42	4652	
878.63	4899	
880.85	4882	
883.07	4989	
885.28	5012	
887.5	5333	
889.71	5415	
891.92	5356	
894.14	5361	
896.35	5817	
898.55	5908	
900.76	6035	
902.97	6092	
905.18	6338	
907.38	6547	
909.59	6606	
911.79	6651	
913.99	6932	
916.19	7049	
918.39	7629	
920.6	7601	
922.79	7931	
924.99	8070	
927.18	8320	
929.38	8490	
931.58	8892	
933.77	9107	
935.96	9416	
938.15	9976	
940.35	10079	
942.53	10714	
944.72	10905	
946.91	11434	
949.1	11833	
951.28	12249	
953.47	12671	
955.65	13434	
957.83	13909	
960.01	14179	
962.2	14978	
964.38	15409	
966.55	16037	
968.73	16815	
970.91	17195	
973.08	18203	
975.26	19024	
977.43	19687	
979.61	20811	
981.78	21233	
983.95	22521	
986.12	23520	
988.29	24273	
990.46	25432	
992.62	26722	
994.79	27943	
996.95	29156	
999.12	30420	
1001.28	31348	
1003.44	33175	
1005.6	35469	
1007.76	36424	
1009.92	37265	
1012.08	39104	
1014.24	41303	
1016.4	42211	
1018.55	44263	
1020.71	46254	
1022.86	47710	
1025.01	49706	
1027.16	50509	
1029.32	52551	
1031.46	54269	
1033.61	55499	
1035.76	56243	
1037.91	57693	
1040.05	58357	
1042.2	59260	
1044.34	59679	
1046.48	60036	
1048.63	60558	
1050.77	60969	
1052.91	61260	
1055.05	61120	
1057.18	61451	
1059.32	60933	
1061.46	60830	
1063.59	60280	
1065.73	59790	
1067.86	59297	
1069.99	58860	
1072.12	57847	
1074.25	56828	
