Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
102.32	6	
104.89	7	
107.46	6	
110.02	10	
112.59	11	
115.15	15	
117.71	19	
120.27	30	
122.83	42	
125.39	65	
127.95	104	
130.51	162	
133.06	230	
135.61	313	
138.17	399	
140.72	485	
143.27	571	
145.82	647	
148.37	704	
150.91	739	
153.46	754	
156.01	761	
158.55	757	
161.09	754	
163.63	743	
166.18	735	
168.71	722	
171.25	713	
173.79	716	
176.32	719	
178.86	720	
181.39	717	
183.92	716	
186.46	715	
188.99	715	
191.52	715	
194.04	709	
196.57	707	
199.09	700	
201.62	696	
204.14	695	
206.66	693	
209.18	689	
211.7	688	
214.22	687	
216.74	687	
219.25	695	
221.77	696	
224.29	699	
226.8	707	
229.31	709	
231.82	714	
234.33	717	
236.84	718	
239.34	720	
241.85	723	
244.35	720	
246.86	723	
249.36	727	
251.86	729	
254.36	734	
256.86	741	
259.36	745	
261.86	751	
264.35	759	
266.84	766	
269.34	772	
271.83	775	
274.32	773	
276.81	775	
279.3	775	
281.79	776	
284.27	775	
286.76	777	
289.24	777	
291.73	780	
294.21	784	
296.69	787	
299.17	789	
301.65	787	
304.13	789	
306.61	802	
309.08	834	
311.56	887	
314.03	939	
316.5	993	
318.97	1029	
321.44	1046	
323.91	1050	
326.38	1034	
328.84	997	
331.31	952	
333.77	907	
336.24	874	
338.7	860	
341.16	865	
343.62	862	
346.08	868	
348.54	866	
350.99	863	
353.45	866	
355.9	863	
358.36	860	
360.81	862	
363.26	861	
365.71	866	
368.16	869	
370.6	875	
373.05	869	
375.49	876	
377.94	871	
380.38	870	
382.82	868	
385.27	861	
387.7	858	
390.14	858	
392.58	853	
395.02	856	
397.45	856	
399.89	857	
402.32	856	
404.75	865	
407.19	865	
409.61	871	
412.04	874	
414.47	876	
416.9	878	
419.32	881	
421.75	877	
424.17	881	
426.59	877	
429.01	871	
431.43	869	
433.85	872	
436.27	869	
438.69	869	
441.1	870	
443.52	870	
445.93	871	
448.34	875	
450.75	873	
453.17	873	
455.57	868	
457.98	864	
460.39	863	
462.8	856	
465.2	844	
467.6	836	
470	828	
472.41	823	
474.81	820	
477.21	820	
479.61	822	
482	827	
484.4	829	
486.79	827	
489.19	819	
491.58	803	
493.97	786	
496.36	759	
498.75	727	
501.14	697	
503.53	663	
505.91	637	
508.3	610	
510.68	588	
513.07	568	
515.45	546	
517.83	526	
520.21	512	
522.59	501	
524.97	488	
527.34	475	
529.72	470	
532.09	464	
534.47	463	
536.84	458	
539.21	460	
541.58	457	
543.95	453	
546.32	447	
548.68	444	
551.05	441	
553.41	442	
555.78	436	
558.14	434	
560.5	429	
562.87	424	
565.22	418	
567.58	417	
569.94	409	
572.29	406	
574.65	399	
577.01	399	
579.36	403	
581.71	409	
584.06	404	
586.41	407	
588.76	405	
591.11	406	
593.45	408	
595.8	411	
598.15	405	
600.49	402	
602.83	396	
605.17	396	
607.51	391	
609.85	386	
612.19	378	
614.53	375	
616.87	369	
619.2	371	
621.53	369	
623.87	367	
626.2	361	
628.53	357	
630.86	355	
633.19	353	
635.52	349	
637.85	347	
640.17	343	
642.5	341	
644.82	337	
647.14	336	
649.46	331	
651.78	328	
654.1	324	
656.42	323	
658.74	324	
661.06	326	
663.37	328	
665.68	328	
668	326	
670.31	326	
672.62	322	
674.93	321	
677.24	314	
679.55	314	
681.86	309	
684.16	312	
686.47	310	
688.77	309	
691.07	305	
693.37	302	
695.68	297	
697.98	297	
700.27	293	
702.57	291	
704.87	285	
707.16	286	
709.46	282	
711.75	287	
714.04	286	
716.34	287	
718.63	288	
720.91	291	
723.2	289	
725.49	291	
727.78	292	
730.06	292	
732.35	293	
734.63	296	
736.91	298	
739.19	301	
741.47	301	
743.75	305	
746.03	303	
748.31	303	
750.58	298	
752.86	298	
755.13	302	
757.4	305	
759.68	311	
761.95	318	
764.22	324	
766.49	326	
768.75	329	
771.02	330	
773.29	327	
775.55	322	
777.81	318	
780.08	317	
782.34	318	
784.6	319	
786.86	323	
789.12	328	
791.37	328	
793.63	331	
795.89	332	
798.14	330	
800.4	327	
802.65	323	
804.9	324	
807.15	319	
809.4	320	
811.65	316	
813.9	313	
816.14	312	
818.39	307	
820.63	306	
822.88	305	
825.12	308	
827.36	307	
829.6	313	
831.84	304	
834.08	301	
836.31	302	
838.55	302	
840.79	298	
843.02	296	
845.25	294	
847.49	286	
849.72	280	
851.95	276	
854.18	271	
856.41	265	
858.63	257	
860.86	263	
863.08	268	
865.31	270	
867.53	272	
869.76	278	
871.97	282	
874.2	281	
876.42	277	
878.63	280	
880.85	283	
883.07	279	
885.28	276	
887.5	272	
889.71	265	
891.92	262	
894.14	267	
896.35	274	
898.55	283	
900.76	288	
902.97	291	
905.18	301	
907.38	304	
909.59	293	
911.79	282	
913.99	279	
916.19	267	
918.39	265	
920.6	266	
922.79	272	
924.99	279	
927.18	283	
929.38	286	
931.58	292	
933.77	289	
935.96	288	
938.15	293	
940.35	308	
942.53	309	
944.72	317	
946.91	329	
949.1	342	
951.28	340	
953.47	343	
955.65	335	
957.83	328	
960.01	325	
962.2	331	
964.38	329	
966.55	346	
968.73	356	
970.91	370	
973.08	389	
975.26	401	
977.43	403	
979.61	411	
981.78	402	
983.95	412	
986.12	425	
988.29	421	
990.46	428	
992.62	465	
994.79	470	
996.95	480	
999.12	485	
1001.28	493	
1003.44	483	
1005.6	472	
1007.76	460	
1009.92	463	
1012.08	444	
1014.24	441	
1016.4	452	
1018.55	469	
1020.71	480	
1022.86	508	
1025.01	513	
1027.16	520	
1029.32	527	
1031.46	529	
1033.61	519	
1035.76	511	
1037.91	495	
1040.05	485	
1042.2	472	
1044.34	476	
1046.48	506	
1048.63	516	
1050.77	513	
1052.91	512	
1055.05	522	
1057.18	523	
1059.32	525	
1061.46	529	
1063.59	509	
1065.73	494	
1067.86	509	
1069.99	527	
1072.12	543	
1074.25	540	
1076.38	555	
1078.51	552	
1080.64	553	
1082.76	546	
1084.89	528	
1087.02	501	
1089.14	464	
1091.26	452	
1093.38	438	
1095.51	437	
1097.62	428	
1099.74	440	
1101.86	458	
1103.98	466	
1106.09	474	
1108.21	473	
1110.32	465	
1112.43	461	
1114.55	447	
1116.66	435	
1118.77	421	
1120.88	417	
1122.99	416	
1125.1	405	
1127.2	396	
1129.31	393	
1131.41	394	
1133.52	385	
1135.62	385	
1137.72	384	
1139.82	373	
1141.92	370	
1144.02	371	
1146.12	365	
1148.22	372	
1150.31	362	
1152.41	365	
1154.5	360	
1156.6	362	
1158.69	360	
1160.78	373	
1162.87	377	
1164.96	378	
1167.05	378	
1169.13	381	
1171.22	381	
1173.31	382	
1175.39	373	
1177.48	360	
1179.56	351	
1181.64	342	
1183.72	338	
1185.8	343	
1187.88	348	
1189.96	341	
1192.04	347	
1194.11	358	
1196.19	360	
1198.26	351	
1200.34	343	
1202.41	330	
1204.48	327	
1206.55	310	
1208.62	309	
1210.69	316	
1212.76	317	
1214.83	323	
1216.89	341	
1218.96	349	
1221.02	350	
1223.09	343	
1225.15	347	
1227.21	343	
1229.27	335	
1231.33	314	
1233.39	319	
1235.45	317	
1237.51	315	
1239.56	315	
1241.62	316	
1243.67	310	
1245.72	308	
1247.78	304	
1249.83	305	
1251.88	313	
1253.93	314	
1255.98	318	
1258.02	332	
1260.07	335	
1262.11	344	
1264.16	349	
1266.21	356	
1268.25	358	
1270.29	366	
1272.33	365	
1274.37	372	
1276.41	383	
1278.45	377	
1280.49	365	
1282.52	362	
1284.56	362	
1286.6	368	
1288.63	368	
1290.66	376	
1292.69	387	
1294.73	403	
1296.76	413	
1298.79	427	
1300.81	430	
1302.84	433	
1304.87	437	
1306.89	451	
1308.92	473	
1310.94	493	
1312.96	513	
1314.99	539	
1317.01	564	
1319.03	587	
1321.05	606	
1323.07	625	
1325.08	646	
1327.1	660	
1329.12	681	
1331.13	697	
1333.14	709	
1335.16	717	
1337.17	721	
1339.18	716	
1341.19	710	
1343.2	691	
1345.21	674	
1347.22	656	
1349.22	635	
1351.23	616	
1353.24	603	
1355.24	584	
1357.24	562	
1359.24	547	
1361.25	522	
1363.25	499	
1365.25	482	
1367.24	462	
1369.24	446	
1371.24	431	
1373.23	417	
1375.23	407	
1377.22	401	
1379.22	393	
1381.21	390	
1383.2	391	
1385.19	384	
1387.18	377	
1389.17	375	
1391.16	369	
1393.14	361	
1395.13	351	
1397.12	344	
1399.1	341	
1401.08	332	
1403.07	325	
1405.05	324	
1407.03	328	
1409.01	325	
1410.99	323	
1412.96	326	
