Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
950.87	133	
953.05	133	
955.24	135	
957.42	138	
959.6	136	
961.78	138	
963.96	138	
966.14	136	
968.32	134	
970.5	132	
972.67	132	
974.85	134	
977.02	135	
979.19	137	
981.36	141	
983.54	142	
985.71	144	
987.88	147	
990.04	150	
992.21	151	
994.38	153	
996.54	158	
998.71	163	
1000.87	167	
1003.03	167	
1005.19	169	
1007.35	169	
1009.51	169	
1011.67	172	
1013.83	173	
1015.98	175	
1018.14	175	
1020.29	174	
1022.45	173	
1024.6	172	
1026.75	171	
1028.9	175	
1031.05	178	
1033.2	182	
1035.35	183	
1037.49	187	
1039.64	192	
1041.79	195	
1043.93	195	
1046.07	195	
1048.21	195	
1050.35	197	
1052.49	199	
1054.63	200	
1056.77	198	
1058.91	197	
1061.04	196	
1063.18	195	
1065.31	193	
1067.45	193	
1069.58	195	
1071.71	198	
1073.84	194	
1075.97	194	
1078.1	193	
1080.23	193	
1082.35	192	
1084.48	189	
1086.6	185	
1088.72	182	
1090.85	176	
1092.97	173	
1095.09	168	
1097.21	165	
1099.33	164	
1101.45	162	
1103.56	160	
1105.68	159	
1107.79	158	
1109.91	156	
1112.02	154	
1114.13	154	
1116.24	149	
1118.36	152	
1120.47	152	
1122.57	151	
1124.68	151	
1126.79	151	
1128.9	149	
1131	148	
1133.1	148	
1135.2	148	
1137.31	147	
1139.41	150	
1141.51	150	
1143.61	150	
1145.7	151	
1147.8	152	
1149.9	151	
1151.99	151	
1154.09	150	
1156.18	149	
1158.28	146	
1160.36	148	
1162.46	146	
1164.54	143	
1166.63	142	
1168.72	142	
1170.81	143	
1172.89	145	
1174.98	143	
1177.06	140	
1179.14	139	
1181.23	139	
1183.31	138	
1185.39	141	
1187.47	141	
1189.55	141	
1191.62	141	
1193.7	142	
1195.78	139	
1197.85	139	
1199.92	140	
1202	143	
1204.07	141	
1206.14	140	
1208.21	141	
1210.28	142	
1212.34	142	
1214.41	141	
1216.48	138	
1218.54	138	
1220.61	137	
1222.67	139	
1224.73	141	
1226.8	140	
1228.86	138	
1230.92	136	
1232.98	133	
1235.03	132	
1237.09	129	
1239.15	129	
1241.2	128	
1243.26	126	
1245.31	122	
1247.36	121	
1249.41	120	
1251.46	118	
1253.51	117	
1255.56	117	
1257.61	118	
1259.66	122	
1261.7	126	
1263.75	130	
1265.79	130	
1267.84	129	
1269.88	132	
1271.92	133	
1273.96	132	
