Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
-118.05	-11	
-115.38	-10	
-112.71	-9	
-110.05	-7	
-107.38	-5	
-104.72	-3	
-102.06	-1	
-99.39	1	
-96.74	3	
-94.08	5	
-91.42	6	
-88.76	6	
-86.11	5	
-83.45	4	
-80.8	6	
-78.15	4	
-75.5	3	
-72.85	2	
-70.2	2	
-67.56	5	
-64.91	2	
-62.27	1	
-59.62	1	
-56.98	3	
-54.34	5	
-51.7	6	
-49.06	7	
-46.43	6	
-43.79	9	
-41.16	9	
-38.52	6	
-35.89	-13	
-33.26	-103	
-30.63	-423	
-28	-1309	
-25.37	-2162	
-22.75	-1555	
-20.12	607	
-17.5	2714	
-14.88	4541	
-12.26	6082	
-9.64	7336	
-7.02	8298	
-4.4	8973	
-1.78	9352	
0.83	9439	
3.45	9233	
6.06	8738	
8.67	7953	
11.28	6877	
13.89	5516	
16.5	3877	
19.11	1985	
21.71	-36	
24.32	-1792	
26.92	-2278	
29.52	-1254	
32.12	-122	
34.72	16	
37.32	18	
39.92	16	
42.52	11	
45.11	10	
47.7	8	
50.3	4	
52.89	1	
55.48	-1	
58.07	-1	
60.66	-2	
63.24	-3	
65.83	-2	
68.42	-1	
71	-1	
73.58	-4	
76.16	-2	
78.74	-0	
81.32	-0	
83.9	-0	
86.47	2	
89.05	1	
91.62	1	
94.2	-0	
96.77	2	
99.34	1	
101.91	1	
104.47	3	
107.04	3	
109.61	4	
112.17	4	
114.74	5	
117.3	12	
119.86	22	
122.42	34	
124.98	53	
127.54	77	
130.09	100	
132.65	129	
135.2	160	
137.76	192	
140.31	222	
142.86	251	
145.41	279	
147.95	303	
150.5	322	
153.05	339	
155.59	352	
158.14	356	
160.68	356	
163.22	355	
165.76	354	
168.3	350	
170.84	346	
173.37	343	
175.91	340	
178.45	336	
180.98	331	
183.51	333	
186.04	329	
188.57	327	
191.1	327	
193.63	326	
196.15	326	
198.68	327	
201.2	329	
203.73	330	
206.25	332	
208.77	334	
211.29	333	
213.81	336	
216.33	338	
218.84	337	
221.36	339	
223.87	343	
226.38	345	
228.89	346	
231.4	346	
233.91	352	
236.42	352	
238.93	352	
241.44	353	
243.94	354	
246.44	357	
248.95	358	
251.45	358	
253.95	361	
256.45	363	
258.94	366	
261.44	362	
263.94	366	
266.43	367	
268.93	365	
271.42	367	
273.91	369	
276.4	370	
278.89	370	
281.38	376	
283.86	380	
286.35	376	
288.83	373	
291.32	370	
293.8	372	
296.28	370	
298.76	373	
301.24	383	
303.72	400	
306.19	415	
308.67	429	
311.14	441	
313.61	454	
316.09	463	
318.56	471	
321.03	476	
323.49	478	
325.96	480	
328.43	480	
330.9	479	
333.36	471	
335.82	462	
338.28	451	
340.75	439	
343.2	429	
345.66	421	
348.12	421	
350.58	421	
353.03	423	
355.49	422	
357.94	421	
360.39	421	
362.84	421	
365.29	420	
367.74	420	
370.19	420	
372.63	420	
375.08	423	
377.53	426	
379.97	426	
382.41	427	
384.85	431	
387.29	432	
389.73	430	
392.17	431	
394.6	432	
