Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
-118.05	-2	
-115.38	-1	
-112.71	1	
-110.05	2	
-107.38	4	
-104.72	4	
-102.06	5	
-99.39	6	
-96.74	6	
-94.08	6	
-91.42	6	
-88.76	5	
-86.11	5	
-83.45	4	
-80.8	4	
-78.15	4	
-75.5	3	
-72.85	5	
-70.2	5	
-67.56	4	
-64.91	5	
-62.27	7	
-59.62	8	
-56.98	10	
-54.34	11	
-51.7	11	
-49.06	12	
-46.43	13	
-43.79	16	
-41.16	17	
-38.52	15	
-35.89	-2	
-33.26	-80	
-30.63	-332	
-28	-1181	
-25.37	-2160	
-22.75	-1348	
-20.12	656	
-17.5	2545	
-14.88	4187	
-12.26	5572	
-9.64	6692	
-7.02	7550	
-4.4	8144	
-1.78	8476	
0.83	8547	
3.45	8353	
6.06	7897	
8.67	7178	
11.28	6196	
13.89	4955	
16.5	3460	
19.11	1739	
21.71	-101	
24.32	-1759	
26.92	-2197	
29.52	-963	
32.12	-73	
34.72	13	
37.32	17	
39.92	16	
42.52	13	
45.11	10	
47.7	8	
50.3	9	
52.89	10	
55.48	10	
58.07	11	
60.66	11	
63.24	11	
65.83	9	
68.42	9	
71	10	
73.58	10	
76.16	10	
78.74	9	
81.32	7	
83.9	4	
86.47	4	
89.05	2	
91.62	2	
94.2	1	
96.77	-0	
99.34	-0	
101.91	-0	
104.47	-1	
107.04	-2	
109.61	-1	
112.17	-1	
114.74	-2	
117.3	5	
119.86	18	
122.42	32	
124.98	50	
127.54	73	
130.09	98	
132.65	128	
135.2	159	
137.76	187	
140.31	218	
142.86	249	
145.41	276	
147.95	300	
150.5	318	
153.05	332	
155.59	339	
158.14	340	
160.68	339	
163.22	336	
165.76	331	
168.3	333	
170.84	331	
173.37	330	
175.91	327	
178.45	324	
180.98	323	
183.51	321	
186.04	316	
188.57	312	
191.1	313	
193.63	312	
196.15	310	
198.68	311	
201.2	312	
203.73	311	
206.25	308	
208.77	309	
211.29	311	
213.81	312	
216.33	317	
218.84	325	
221.36	328	
223.87	332	
226.38	334	
228.89	336	
231.4	339	
233.91	339	
236.42	339	
238.93	341	
241.44	341	
243.94	342	
246.44	342	
248.95	346	
251.45	346	
253.95	345	
256.45	345	
258.94	350	
261.44	351	
263.94	353	
266.43	357	
268.93	360	
271.42	361	
273.91	363	
276.4	364	
278.89	367	
281.38	365	
283.86	367	
286.35	368	
288.83	368	
291.32	368	
293.8	369	
296.28	370	
298.76	377	
301.24	388	
303.72	404	
306.19	420	
308.67	437	
311.14	451	
313.61	464	
316.09	472	
318.56	477	
321.03	480	
323.49	480	
325.96	479	
328.43	475	
330.9	468	
333.36	460	
335.82	447	
