Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
946.49	174	
948.68	176	
950.87	175	
953.05	180	
955.24	180	
957.42	183	
959.6	185	
961.78	188	
963.96	190	
966.14	194	
968.32	197	
970.5	202	
972.67	206	
974.85	208	
977.02	214	
979.19	217	
981.36	220	
983.54	223	
985.71	224	
987.88	228	
990.04	227	
992.21	233	
994.38	235	
996.54	238	
998.71	239	
1000.87	241	
1003.03	240	
1005.19	242	
1007.35	244	
1009.51	245	
1011.67	249	
1013.83	253	
1015.98	252	
1018.14	253	
1020.29	255	
1022.45	258	
1024.6	260	
1026.75	263	
1028.9	262	
1031.05	264	
1033.2	267	
1035.35	271	
1037.49	270	
1039.64	272	
1041.79	273	
1043.93	274	
1046.07	273	
1048.21	277	
1050.35	280	
1052.49	285	
1054.63	287	
1056.77	287	
1058.91	288	
1061.04	290	
1063.18	291	
1065.31	291	
1067.45	288	
1069.58	286	
1071.71	282	
1073.84	280	
1075.97	276	
1078.1	272	
1080.23	265	
1082.35	262	
1084.48	257	
1086.6	252	
1088.72	248	
1090.85	246	
1092.97	243	
1095.09	242	
1097.21	237	
1099.33	236	
1101.45	236	
1103.56	231	
1105.68	229	
1107.79	224	
1109.91	221	
1112.02	220	
1114.13	219	
1116.24	218	
1118.36	215	
1120.47	215	
1122.57	213	
1124.68	213	
1126.79	211	
1128.9	210	
1131	210	
1133.1	210	
1135.2	211	
1137.31	212	
1139.41	209	
1141.51	210	
1143.61	209	
1145.7	206	
1147.8	202	
1149.9	200	
1151.99	197	
1154.09	197	
1156.18	193	
1158.28	190	
1160.36	189	
1162.46	189	
1164.54	187	
1166.63	188	
1168.72	189	
1170.81	190	
1172.89	193	
1174.98	194	
1177.06	197	
1179.14	198	
1181.23	197	
1183.31	201	
1185.39	203	
1187.47	205	
1189.55	201	
1191.62	202	
1193.7	199	
1195.78	199	
1197.85	195	
1199.92	196	
1202	194	
1204.07	191	
1206.14	186	
1208.21	185	
1210.28	181	
1212.34	178	
1214.41	179	
1216.48	175	
1218.54	173	
1220.61	173	
1222.67	173	
1224.73	174	
1226.8	174	
1228.86	175	
1230.92	174	
1232.98	174	
1235.03	174	
1237.09	174	
1239.15	173	
1241.2	172	
1243.26	169	
1245.31	173	
1247.36	168	
1249.41	169	
1251.46	169	
1253.51	169	
1255.56	168	
1257.61	166	
1259.66	165	
1261.7	164	
1263.75	163	
1265.79	164	
1267.84	164	
1269.88	165	
1271.92	161	
1273.96	159	
1276	158	
1278.04	155	
1280.08	153	
1282.11	156	
1284.15	156	
1286.18	162	
1288.22	157	
1290.25	159	
1292.28	158	
1294.31	156	
1296.34	155	
1298.37	155	
1300.4	152	
1302.43	153	
1304.45	153	
1306.48	155	
1308.5	154	
1310.53	153	
1312.55	151	
1314.57	152	
1316.6	150	
1318.62	150	
1320.64	150	
1322.65	152	
1324.67	153	
1326.69	157	
1328.7	154	
1330.72	159	
1332.73	158	
1334.75	159	
1336.76	160	
1338.77	160	
1340.78	158	
1342.79	160	
1344.79	159	
1346.8	163	
1348.81	161	
1350.82	160	
1352.82	160	
1354.82	158	
1356.83	156	
1358.83	153	
1360.83	151	
1362.83	152	
1364.83	152	
1366.83	152	
1368.83	154	
1370.83	158	
1372.82	156	
1374.81	157	
1376.81	157	
1378.8	156	
1380.8	157	
1382.79	158	
1384.78	157	
1386.77	155	
1388.76	153	
1390.74	154	
1392.73	154	
1394.72	155	
1396.7	156	
1398.69	156	
1400.67	158	
1402.65	161	
1404.63	159	
1406.61	160	
1408.59	161	
1410.57	161	
1412.55	159	
1414.53	160	
1416.5	159	
1418.48	159	
1420.45	157	
1422.43	156	
1424.4	156	
1426.37	157	
1428.34	160	
1430.31	163	
1432.28	165	
1434.25	168	
1436.22	168	
1438.18	169	
1440.15	166	
1442.12	167	
1444.08	164	
1446.04	162	
1448	162	
1449.96	162	
1451.93	160	
1453.88	162	
1455.84	160	
1457.8	160	
1459.76	157	
1461.71	160	
1463.67	162	
1465.62	162	
1467.58	164	
1469.53	164	
1471.48	162	
1473.43	162	
1475.38	160	
1477.33	161	
1479.28	159	
1481.22	161	
1483.17	161	
1485.12	164	
1487.06	165	
1489	167	
1490.95	170	
1492.89	173	
1494.83	173	
1496.77	173	
1498.71	172	
1500.65	177	
1502.58	178	
1504.52	179	
1506.46	180	
1508.39	181	
1510.33	180	
1512.26	182	
1514.19	183	
1516.12	185	
1518.05	186	
1519.98	190	
1521.91	194	
1523.84	196	
1525.77	197	
1527.69	202	
1529.62	205	
1531.54	205	
1533.47	203	
1535.39	205	
1537.31	207	
1539.23	212	
1541.15	213	
1543.07	219	
1544.99	223	
1546.91	227	
1548.82	233	
1550.74	240	
1552.65	248	
1554.57	259	
1556.48	276	
1558.39	305	
1560.31	352	
1562.21	429	
1564.12	538	
1566.03	668	
1567.94	810	
1569.85	953	
1571.76	1081	
1573.66	1193	
1575.57	1274	
1577.47	1327	
1579.37	1346	
1581.27	1336	
1583.18	1289	
1585.08	1214	
1586.98	1112	
1588.87	986	
1590.77	847	
1592.67	699	
1594.57	562	
1596.46	442	
1598.35	355	
1600.25	299	
1602.14	268	
1604.03	251	
1605.92	244	
1607.81	240	
1609.7	235	
1611.59	232	
1613.48	225	
1615.36	222	
1617.25	218	
1619.13	215	
1621.02	209	
1622.9	206	
1624.79	199	
1626.67	197	
1628.55	193	
1630.43	190	
1632.31	188	
1634.18	191	
1636.06	188	
1637.94	185	
1639.81	183	
1641.69	182	
1643.56	182	
1645.44	183	
1647.31	182	
1649.18	181	
1651.05	181	
1652.92	183	
1654.79	182	
1656.66	181	
1658.52	181	
1660.39	181	
1662.26	179	
1664.12	178	
1665.98	177	
1667.84	176	
1669.71	174	
1671.57	173	
1673.43	167	
1675.29	168	
1677.15	168	
1679.01	168	
1680.86	167	
1682.72	167	
1684.58	164	
1686.43	164	
1688.28	165	
1690.14	170	
1691.99	168	
1693.84	172	
1695.69	174	
1697.54	175	
1699.39	174	
1701.24	177	
1703.08	176	
1704.93	175	
1706.77	176	
1708.62	177	
1710.46	176	
1712.31	177	
1714.15	173	
1715.99	172	
1717.83	170	
1719.67	166	
1721.51	164	
1723.34	164	
1725.18	162	
1727.02	165	
1728.85	163	
1730.69	165	
1732.52	163	
1734.35	164	
1736.18	165	
1738.02	170	
1739.85	167	
1741.68	170	
1743.51	171	
1745.33	173	
1747.16	172	
1748.99	175	
1750.81	175	
1752.64	179	
1754.46	178	
1756.28	176	
1758.11	176	
1759.93	176	
1761.75	174	
1763.57	174	
1765.39	171	
1767.21	170	
1769.02	168	
1770.84	168	
1772.65	166	
1774.47	165	
1776.28	161	
1778.1	161	
1779.91	159	
1781.72	160	
1783.53	159	
1785.34	160	
1787.15	159	
1788.96	159	
1790.76	159	
1792.57	158	
1794.38	159	
1796.18	162	
1797.98	162	
1799.79	163	
1801.59	164	
1803.39	165	
1805.19	165	
1806.99	163	
1808.79	163	
1810.59	165	
1812.39	163	
1814.19	164	
1815.98	165	
1817.78	167	
1819.57	166	
1821.36	168	
1823.16	167	
1824.95	169	
1826.74	168	
1828.53	167	
1830.32	170	
1832.11	172	
1833.9	169	
1835.68	169	
1837.47	166	
1839.26	166	
1841.04	165	
1842.82	164	
1844.61	165	
1846.39	164	
1848.17	161	
1849.95	164	
1851.73	165	
1853.51	167	
1855.29	164	
1857.06	163	
1858.84	160	
1860.62	159	
1862.39	157	
1864.17	159	
1865.94	160	
1867.71	159	
1869.48	156	
1871.25	157	
1873.02	157	
1874.79	160	
1876.56	163	
1878.33	167	
1880.1	169	
1881.86	171	
1883.63	172	
1885.39	175	
1887.16	176	
1888.92	176	
1890.68	173	
1892.44	173	
1894.2	170	
1895.96	171	
1897.72	170	
1899.48	168	
1901.23	166	
1902.99	165	
1904.75	163	
1906.5	164	
1908.26	162	
1910.01	163	
1911.76	164	
1913.51	164	
1915.26	162	
1917.01	163	
1918.76	162	
1920.51	163	
1922.26	164	
1924.01	164	
1925.75	162	
1927.5	164	
1929.24	165	
1930.99	165	
1932.73	164	
1934.47	165	
1936.21	167	
1937.95	169	
1939.69	168	
1941.43	166	
1943.17	163	
1944.91	165	
1946.64	162	
1948.38	161	
1950.11	161	
1951.85	162	
1953.58	162	
1955.32	163	
1957.05	163	
1958.78	164	
1960.51	163	
1962.24	167	
1963.97	168	
1965.69	167	
1967.42	168	
1969.15	172	
1970.88	172	
1972.6	173	
1974.32	171	
1976.04	169	
1977.77	169	
1979.49	173	
1981.21	173	
1982.93	175	
1984.65	174	
1986.37	174	
1988.08	174	
1989.8	174	
1991.52	170	
1993.23	172	
1994.95	170	
1996.66	173	
1998.38	171	
2000.09	169	
2001.8	169	
2003.51	170	
2005.22	167	
2006.93	167	
2008.64	166	
2010.35	165	
2012.05	167	
2013.76	169	
2015.46	169	
2017.17	169	
2018.87	168	
2020.58	170	
2022.28	169	
2023.98	169	
2025.68	165	
2027.38	167	
2029.08	163	
2030.78	164	
2032.47	161	
2034.17	163	
2035.87	164	
2037.56	165	
2039.26	165	
2040.95	165	
2042.64	165	
2044.34	166	
2046.03	165	
2047.72	168	
2049.41	170	
2051.1	172	
2052.78	171	
2054.47	172	
2056.16	171	
2057.84	170	
2059.53	166	
2061.21	168	
2062.9	166	
2064.58	165	
2066.26	164	
2067.94	167	
2069.62	166	
2071.3	163	
2072.98	162	
2074.66	163	
2076.34	163	
2078.01	164	
2079.69	164	
2081.37	167	
2083.04	166	
2084.71	166	
2086.39	164	
2088.06	164	
2089.73	165	
2091.4	166	
2093.07	163	
2094.74	166	
2096.41	164	
2098.08	164	
2099.74	163	
2101.41	163	
2103.07	159	
2104.74	158	
2106.4	160	
2108.06	163	
2109.73	163	
2111.39	163	
2113.05	163	
2114.71	166	
2116.37	168	
2118.03	167	
2119.68	168	
2121.34	170	
2123	169	
2124.65	169	
2126.31	166	
2127.96	168	
2129.61	167	
2131.27	164	
2132.92	162	
2134.57	161	
2136.22	158	
2137.87	159	
2139.51	160	
2141.16	158	
2142.81	157	
2144.46	155	
2146.1	157	
2147.74	161	
2149.39	161	
2151.03	161	
2152.68	163	
2154.32	163	
2155.96	164	
2157.6	165	
2159.24	165	
2160.88	168	
2162.51	166	
2164.15	167	
2165.79	166	
2167.42	166	
2169.06	166	
2170.69	166	
2172.33	165	
2173.96	163	
2175.59	163	
2177.22	163	
2178.85	164	
2180.48	165	
2182.11	163	
2183.74	164	
2185.37	165	
2187	167	
2188.62	167	
2190.25	166	
2191.87	164	
2193.49	162	
2195.12	162	
2196.74	164	
2198.36	161	
2199.98	162	
2201.6	161	
2203.22	162	
2204.84	163	
2206.46	160	
2208.07	159	
2209.69	159	
2211.31	157	
2212.92	159	
2214.53	156	
2216.15	156	
2217.76	159	
2219.37	160	
2220.98	158	
2222.59	159	
2224.2	157	
2225.81	159	
2227.42	161	
2229.03	165	
2230.64	164	
2232.24	164	
2233.85	166	
2235.45	167	
2237.06	165	
2238.66	164	
2240.26	163	
2241.86	164	
2243.46	164	
2245.06	167	
2246.66	162	
2248.26	164	
2249.86	166	
2251.45	164	
2253.05	163	
2254.65	163	
2256.24	160	
2257.83	158	
2259.43	157	
2261.02	158	
2262.61	154	
2264.21	153	
2265.79	152	
2267.39	150	
2268.97	148	
2270.56	148	
2272.15	148	
2273.74	152	
2275.32	151	
2276.91	151	
2278.49	148	
2280.08	151	
2281.66	152	
2283.24	152	
2284.82	151	
2286.4	151	
2287.98	149	
2289.56	150	
2291.14	149	
2292.72	149	
2294.3	148	
2295.88	148	
2297.45	147	
2299.02	149	
2300.6	150	
2302.17	151	
2303.75	150	
2305.32	154	
2306.89	152	
2308.46	152	
2310.03	151	
2311.6	151	
2313.17	151	
2314.74	152	
2316.3	156	
2317.87	160	
2319.44	162	
2321	166	
2322.56	167	
2324.13	170	
2325.69	171	
2327.25	172	
2328.81	172	
2330.38	173	
2331.94	171	
2333.49	170	
2335.05	166	
2336.61	166	
2338.17	161	
2339.72	159	
2341.28	157	
2342.83	157	
2344.39	157	
2345.94	158	
2347.49	158	
2349.05	157	
2350.6	156	
2352.15	158	
2353.7	155	
2355.25	155	
2356.79	154	
2358.34	153	
2359.89	154	
2361.44	156	
2362.98	154	
2364.53	153	
2366.07	151	
2367.61	155	
2369.16	154	
2370.7	157	
2372.24	157	
2373.78	157	
2375.32	156	
2376.86	157	
2378.39	154	
2379.93	152	
2381.47	152	
2383.01	150	
2384.54	148	
2386.08	150	
2387.61	150	
2389.14	150	
2390.68	152	
2392.21	153	
2393.74	154	
2395.27	156	
2396.8	157	
2398.33	161	
2399.86	161	
2401.39	161	
2402.91	163	
2404.44	165	
2405.96	166	
2407.49	167	
2409.01	165	
2410.54	165	
2412.06	165	
2413.58	164	
2415.1	162	
2416.62	165	
2418.14	161	
2419.66	161	
2421.18	163	
2422.7	166	
2424.21	167	
2425.73	168	
2427.25	169	
2428.76	172	
2430.27	175	
2431.79	176	
2433.3	179	
2434.81	182	
2436.32	184	
2437.84	188	
2439.34	188	
2440.86	189	
2442.36	189	
2443.87	190	
2445.38	186	
2446.88	187	
2448.39	183	
2449.9	184	
2451.4	182	
2452.9	182	
2454.41	180	
2455.91	180	
2457.41	177	
2458.91	180	
2460.41	177	
2461.91	176	
2463.41	176	
2464.91	179	
2466.4	178	
2467.9	179	
2469.4	177	
2470.89	178	
2472.39	177	
2473.88	177	
2475.37	175	
2476.86	174	
2478.36	173	
2479.85	173	
2481.34	173	
2482.83	172	
2484.31	167	
2485.81	165	
2487.29	163	
2488.78	161	
2490.27	157	
2491.75	157	
2493.24	156	
2494.72	157	
2496.2	155	
2497.68	155	
2499.17	154	
2500.65	157	
2502.13	154	
2503.61	155	
2505.09	155	
2506.57	156	
2508.04	158	
2509.52	157	
2511	158	
2512.47	157	
2513.95	156	
2515.42	157	
2516.9	156	
2518.37	155	
2519.84	154	
2521.31	153	
2522.79	151	
2524.25	152	
2525.72	152	
2527.19	150	
2528.66	151	
2530.13	152	
2531.6	151	
2533.06	154	
2534.53	153	
2535.99	154	
2537.45	154	
2538.92	155	
2540.38	155	
2541.84	159	
2543.3	160	
2544.76	161	
2546.23	160	
2547.68	162	
2549.14	161	
2550.6	161	
2552.06	162	
2553.51	164	
2554.97	164	
2556.43	165	
2557.88	166	
2559.33	167	
2560.79	168	
2562.24	169	
2563.69	166	
2565.14	167	
2566.59	167	
2568.04	167	
2569.49	166	
2570.94	168	
2572.39	166	
2573.83	165	
2575.28	163	
2576.72	163	
2578.17	162	
2579.61	161	
2581.06	163	
2582.5	165	
2583.94	165	
2585.38	167	
2586.82	165	
2588.26	166	
2589.7	167	
2591.14	168	
2592.58	167	
2594.02	170	
2595.45	168	
2596.89	169	
2598.33	168	
2599.76	167	
2601.19	167	
2602.62	168	
2604.06	166	
2605.49	165	
2606.92	168	
2608.35	169	
2609.78	172	
2611.21	177	
2612.64	179	
2614.07	180	
2615.5	181	
2616.92	183	
2618.35	185	
2619.77	187	
2621.2	187	
2622.62	187	
2624.04	185	
2625.47	187	
2626.89	186	
2628.31	186	
2629.73	186	
2631.15	186	
2632.57	184	
2633.99	186	
2635.4	189	
2636.82	193	
2638.24	196	
2639.65	203	
2641.07	205	
2642.48	209	
2643.9	212	
2645.31	215	
2646.72	217	
2648.13	221	
2649.55	224	
2650.96	231	
2652.36	236	
2653.77	242	
2655.18	248	
2656.59	257	
2658	264	
2659.4	270	
2660.81	276	
2662.21	283	
2663.62	292	
2665.02	299	
2666.43	304	
2667.83	312	
2669.23	317	
2670.63	324	
2672.03	329	
2673.43	333	
2674.83	332	
2676.23	336	
2677.62	339	
2679.02	344	
2680.42	347	
2681.81	350	
2683.21	353	
2684.6	356	
2686	353	
2687.39	354	
2688.78	354	
2690.17	355	
2691.57	356	
2692.96	357	
2694.34	362	
2695.73	366	
2697.12	373	
2698.51	384	
2699.9	393	
2701.28	402	
2702.67	414	
2704.06	429	
2705.44	445	
2706.82	463	
2708.21	479	
2709.59	492	
2710.97	504	
2712.35	514	
2713.73	521	
2715.11	527	
2716.49	527	
2717.87	525	
2719.25	517	
2720.62	510	
2722	500	
2723.38	486	
2724.75	472	
2726.13	458	
2727.5	439	
2728.87	424	
2730.25	407	
2731.62	393	
2732.99	377	
2734.36	360	
2735.73	344	
2737.1	330	
2738.47	316	
2739.83	304	
2741.2	292	
2742.57	282	
2743.94	271	
2745.3	263	
2746.66	253	
2748.03	245	
2749.39	236	
2750.76	227	
2752.12	216	
2753.48	210	
2754.84	203	
2756.2	198	
2757.56	191	
2758.92	185	
2760.28	178	
2761.63	174	
2762.99	170	
2764.35	167	
2765.7	162	
2767.06	161	
2768.41	159	
2769.76	162	
2771.12	162	
2772.47	161	
2773.82	161	
2775.17	161	
2776.52	161	
2777.87	160	
2779.22	157	
2780.57	157	
2781.92	154	
2783.26	153	
2784.61	152	
2785.96	150	
2787.3	146	
2788.65	146	
2789.99	144	
2791.33	144	
2792.68	143	
2794.02	143	
2795.36	143	
2796.7	149	
2798.04	147	
2799.38	146	
2800.72	148	
2802.06	151	
2803.39	149	
2804.73	149	
2806.07	149	
2807.4	151	
2808.74	149	
2810.07	150	
2811.4	150	
2812.74	147	
2814.07	145	
