====== H (10000) into Beryllium                 =======
        SRIM-2008.04
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.=  H(10 MeV) ==> Beryllium(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10000 keV
 Total Ions calculated =5000.00
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 803314.E+01 A   Straggling = 116883.E+00 A
 Ion Lateral Range = 101010.E+00 A   Straggling = 144408.E+00 A
 Ion Radial  Range = 161321.E+00 A   Straggling = 130393.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7580000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7590000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7600000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7610000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7620000.E+00 51221370.E-02 51221448.E-02 65745508.E-02 81061831.E-03 
7630000.E+00 34729915.E-02 34729915.E-02 34763083.E-02 17900686.E-09 
7640000.E+00 11047774.E-01 11047774.E-01 11742978.E-01 00000000.E+00 
7650000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7660000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7670000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7680000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7690000.E+00 18983678.E-02 27990694.E-02 53107957.E-02 26703678.E-02 
7700000.E+00 32683639.E-02 44295535.E-02 75353653.E-02 48072025.E-02 
7710000.E+00 87301447.E-02 87301447.E-02 10290080.E-01 31250000.E-09 
7720000.E+00 25740124.E-02 25740124.E-02 30228599.E-02 13531647.E-09 
7730000.E+00 19119309.E-02 32156803.E-02 24057933.E-02 27918842.E-02 
7740000.E+00 80531143.E-03 89737222.E-03 93633886.E-03 41009668.E-03 
7750000.E+00 77479773.E-03 99669979.E-03 12787588.E-02 68359486.E-03 
7760000.E+00 19675599.E-02 40666951.E-02 24813659.E-02 34223007.E-02 
7770000.E+00 24754375.E-02 47874862.E-02 33520183.E-02 44031183.E-02 
7780000.E+00 82270068.E-03 11068974.E-02 15941011.E-02 71902343.E-03 
7790000.E+00 11717213.E-02 25249895.E-02 19164204.E-02 31333554.E-02 
7800000.E+00 10882833.E-02 13295910.E-02 27406411.E-02 33561274.E-02 
7810000.E+00 12609829.E-02 16614896.E-02 19444402.E-02 15866821.E-02 
7820000.E+00 11567763.E-02 17462126.E-02 16984573.E-02 12369928.E-02 
7830000.E+00 93782833.E-03 11355867.E-02 13361612.E-02 60927322.E-03 
7840000.E+00 10772357.E-02 13825307.E-02 17391500.E-02 16952216.E-02 
7850000.E+00 13898658.E-02 22311849.E-02 20414756.E-02 17882155.E-02 
7860000.E+00 13466653.E-02 25891494.E-02 19272324.E-02 22219161.E-02 
7870000.E+00 85020629.E-03 10680907.E-02 17046133.E-02 11577318.E-02 
7880000.E+00 78877486.E-03 10381152.E-02 14451231.E-02 10963268.E-02 
7890000.E+00 96674476.E-03 11948949.E-02 14284095.E-02 83768458.E-03 
7900000.E+00 11638791.E-02 15660480.E-02 16735960.E-02 12670533.E-02 
7910000.E+00 87839160.E-03 12370402.E-02 15256406.E-02 11256618.E-02 
7920000.E+00 92998214.E-03 11962664.E-02 16101173.E-02 93336362.E-03 
7930000.E+00 93627775.E-03 13250494.E-02 14959401.E-02 11267921.E-02 
7940000.E+00 89934114.E-03 11630055.E-02 15034528.E-02 92762688.E-03 
7950000.E+00 91178454.E-03 12019705.E-02 15540023.E-02 11356208.E-02 
7960000.E+00 10015147.E-02 13122320.E-02 15145618.E-02 10348271.E-02 
7970000.E+00 11692573.E-02 18515933.E-02 17779308.E-02 14643175.E-02 
7980000.E+00 10232567.E-02 14229859.E-02 15552128.E-02 10777773.E-02 
7990000.E+00 90204665.E-03 11781993.E-02 14599121.E-02 92594436.E-03 
8000000.E+00 10276789.E-02 13465524.E-02 16478553.E-02 11579891.E-02 
