-118.343598	-28.983516
-115.673997	-13.868132
-113.007332	-4.384615
-110.341419	0.358641
-107.678439	1.253247
-105.014028	-0.809191
-102.352548	-4.937063
-99.689639	-14.622378
-97.031836	-10.146853
-94.372604	-19.664336
-91.714120	-22.776224
-89.058561	-16.000000
-86.401572	-12.097902
-83.749682	-12.601399
-81.096362	-5.468531
-78.445961	-8.874126
-75.794132	-11.573427
-73.147393	-14.454545
-70.499224	-9.020979
-67.851798	-7.965035
-65.207287	-7.209790
-62.561346	-12.090909
-59.920487	-17.188811
-57.278199	-14.818182
-54.638820	-18.489510
-51.998012	-21.678322
-49.357943	-21.552448
-46.722948	-27.797203
-44.086523	-21.699301
-41.453001	-12.832168
-38.818051	-1.671329
-36.188167	10.363636
-33.554689	16.594406
-30.926274	21.517483
-28.298593	23.419580
-25.669483	11.811189
-23.045431	-28.174825
-20.417788	-184.706294
-17.795200	-556.741259
-15.173342	-1015.237762
-12.552215	285.342657
-9.931819	2781.986014
-7.314310	4849.587413
-4.695373	6312.608392
-2.079322	7164.573427
0.536002	7396.153846
3.150597	7015.034965
5.762311	6023.104895
8.375453	4450.195804
10.983561	2393.965035
13.595250	207.524476
16.201909	-1279.923077
18.809997	-823.797203
21.417359	-61.307692
24.019697	8.762238
26.625613	-2.489510
29.226508	-0.027972
31.828830	-9.090909
34.426134	-9.405594
37.027015	-5.440559
39.622880	-3.188811
42.220173	-4.069930
44.816747	-2.209790
47.408312	-4.251748
50.001306	-2.748252
52.591438	-7.573427
55.182997	-10.762238
57.771698	-13.699301
60.361825	-8.139860
62.946953	-14.685315
65.533509	-10.566434
68.119350	-5.643357
70.702338	-2.230769
73.286753	-6.160839
75.864039	-4.748252
78.444890	-5.055944
81.022894	-7.587413
83.600186	-7.251748
86.178906	-3.552448
88.752643	2.580420
91.327807	-0.027972
93.900128	-4.279720
96.471742	-5.349650
99.040515	0.440559
101.610715	5.349650
104.178076	1.692308
106.746864	1.216783
109.312815	4.216783
111.875931	8.139860
114.442603	24.657343
117.000053	25.384615
119.563189	28.006993
122.121366	31.349650
124.683097	34.132867
127.239871	57.146853
129.798071	97.720280
132.351319	148.118881
134.903869	202.209790
137.459969	267.391608
140.011121	344.629371
142.561576	428.951049
145.111333	503.020979
147.658271	546.083916
150.204514	588.055944
152.752182	601.741259
155.299154	596.454545
157.841190	600.167832
160.382534	598.440559
162.923184	590.587413
165.465259	584.209790
168.004524	572.062937
170.540979	558.111888
173.076744	559.412587
175.613934	564.510490
178.150433	556.461538
180.684126	559.531469
183.215015	554.125874
185.745216	554.034965
188.276843	561.503497
190.805668	570.699301
193.331694	569.692308
195.857034	575.335664
198.383799	564.678322
200.907768	561.153846
203.431051	570.202797
205.953650	569.076923
208.473456	563.860140
210.992579	578.510490
213.511019	580.342657
216.030884	587.174825
218.543746	595.874126
221.060140	614.167832
223.575853	619.167832
226.086675	637.944056
228.598922	651.223776
231.108386	673.314685
233.617172	685.951049
236.125280	683.909091
238.634812	687.314685
241.139463	689.363636
243.643438	680.398601
246.148837	688.685315
248.649361	681.762238
251.153408	688.895105
253.650485	688.069930
256.151084	693.251748
258.648912	699.503497
261.146067	702.020979
263.642550	695.468531
266.134169	691.524476
268.629308	697.734266
