# shift_cm-1 intensity_mean intensity_std
177.137921 406.351616 354.617032
178.817029 405.613672 352.949482
180.496137 405.301502 352.064193
182.175245 404.082284 351.923460
183.854353 402.410797 352.238741
185.533461 400.203288 353.114318
187.212569 399.424371 353.719687
188.891677 398.565554 354.372900
190.570785 397.331003 355.147522
192.249893 396.407995 354.963456
193.929001 395.926178 354.801336
195.608109 396.096821 354.878060
197.287217 395.649512 353.726831
198.966325 394.764325 352.340849
200.645433 393.286041 350.848722
202.324541 393.000596 350.115800
204.003649 392.884281 349.139893
205.682757 392.747991 347.540059
207.361865 392.992732 344.944307
209.040973 393.185950 343.500191
210.720081 393.182687 344.357303
212.399189 393.640306 344.876079
214.078297 393.991991 345.676067
215.757405 394.028151 347.065229
217.436513 395.150202 347.491560
219.115621 396.406124 348.159611
220.794729 397.592180 349.505408
222.473837 398.923569 350.505251
224.152945 400.502883 351.665353
225.832053 402.468909 353.188050
227.511161 403.018715 353.317937
229.190269 403.467093 353.837889
230.869377 404.088196 355.337131
232.548485 405.444467 356.958708
234.227593 406.518252 358.189100
235.906701 406.992500 358.780319
237.585809 408.469937 360.154562
239.264917 409.523643 361.952570
240.944025 409.764235 364.250715
242.623133 410.331924 364.614492
244.302241 410.876389 365.479459
245.981349 411.342245 367.314830
247.660457 412.780658 367.290126
249.339565 413.901933 367.373615
251.018673 414.510405 367.788601
252.697781 415.042673 367.987275
254.376889 416.204645 368.754473
256.055997 418.119167 370.215939
257.735105 419.582938 370.629563
259.414213 421.235057 371.842113
261.093321 423.106892 373.957333
262.772429 424.640515 375.000291
264.451537 426.211752 375.898216
266.130645 427.831608 376.660835
267.809753 429.872864 377.378974
269.488861 431.566304 378.355910
271.167969 432.931577 379.462070
272.847077 433.792447 378.845880
274.526185 434.240256 378.912876
276.205293 434.396093 379.436508
277.884401 434.783099 379.294517
279.563509 434.791251 380.056972
281.242617 434.503766 381.317433
282.921725 433.882651 381.869819
284.600833 434.711966 383.347836
286.279941 436.166579 385.095212
287.959049 436.646023 385.520066
289.638157 437.558235 387.120879
291.317265 438.555867 388.993518
292.996373 439.092478 389.769285
294.675481 440.275458 391.196069
296.354589 441.443747 392.652991
298.033697 441.813617 393.431319
299.712805 443.327212 394.204944
301.391913 445.017203 394.340976
303.071021 446.304858 392.934798
304.750129 450.209673 396.437345
306.429237 457.309731 403.018867
308.108345 469.431221 413.404479
309.787453 487.993020 429.643524
311.466561 508.757396 447.507711
313.145669 531.391420 466.491092
314.824777 551.667883 483.777671
316.503885 569.093480 499.337214
318.182993 583.271804 512.958555
319.862101 591.773359 521.340299
321.541209 596.342953 525.961170
323.220317 596.971533 526.817501
324.899425 591.201392 521.811096
326.578533 581.405160 513.058356
328.257641 568.175208 501.035322
329.936749 551.692195 485.297410
331.615857 534.531618 468.409226
333.294965 517.411926 451.853341
334.974073 502.564359 440.501625
336.653181 493.477065 433.336183
338.332289 488.349325 429.220321
340.011397 488.055927 429.194978
341.690505 489.131092 430.779353
343.369613 490.197355 432.685459
345.048721 490.251579 434.170980
346.727829 489.767588 435.308458
348.406937 489.538719 436.115295
350.086045 489.923591 436.479585
351.765153 490.812284 436.104062
353.444261 491.559798 435.331842
355.123369 492.067828 434.152455
356.802477 492.127598 433.749996
358.481585 491.711357 432.872527
360.160693 490.886031 431.509090
361.839801 490.348446 429.611578
363.518909 488.976777 427.896755
365.198017 487.217933 426.371990
366.877125 486.429331 425.263729
368.556233 485.780418 424.207653
370.235341 485.251138 423.486871
371.914449 484.911149 423.821766
373.593557 485.196602 424.176491
375.272665 485.114032 424.187311
376.951773 483.829799 423.432311
378.630881 484.598391 424.691916
380.309989 485.458811 425.200581
381.989097 485.957267 424.110347
383.668205 486.508117 424.075313
385.347313 486.941757 424.671915
387.026421 487.192474 425.765763
388.705529 486.108915 425.112162
390.384637 486.207648 423.985066
392.063745 486.910938 422.533829
393.742853 486.283740 421.125822
395.421961 485.862032 420.712052
397.101069 485.466824 420.760572
398.780177 484.858885 420.838414
400.459285 484.983593 421.717077
402.138393 484.959411 422.649895
403.817501 484.258240 423.269452
405.496609 483.625293 424.300995
407.175717 483.514474 425.562198
408.854825 484.052790 427.043522
410.533933 482.961672 426.470966
412.213041 482.655003 427.077280
413.892149 482.966941 428.624772
415.571257 483.010042 429.875176
417.250365 483.454472 430.421894
418.929473 484.484347 430.541990
420.608581 486.902175 430.424918
422.287689 487.935097 430.109356
423.966797 488.982267 430.150156
425.645905 490.920283 431.055723
427.325013 491.632966 432.010909
429.004121 492.482238 433.145888
430.683229 493.705070 434.487834
432.362337 493.633264 434.587650
434.041445 494.191958 434.693913
435.720553 495.096915 434.829098
437.399661 494.914489 435.123884
439.078769 494.886215 435.355482
440.757877 494.825956 435.612767
442.436985 494.436118 436.047162
444.116093 494.749178 435.566016
445.795201 495.433169 434.925739
447.474309 496.463473 434.390948
449.153417 496.351834 432.095016
450.832525 495.550360 429.620855
452.511633 494.088770 427.107004
454.190741 491.960712 424.709950
455.869849 488.959082 422.721738
457.548957 485.525818 420.805668
459.228065 482.500988 418.134423
460.907173 478.608902 414.991162
462.586281 474.512376 411.783950
464.265389 470.573202 408.747928
465.944497 467.177502 407.473669
467.623605 464.345056 406.421522
469.302713 462.101660 405.408306
470.981821 460.069264 405.318550
472.660929 459.683281 405.466802
474.340037 460.581496 406.073934
476.019145 462.371462 408.152800
477.698253 463.493396 408.201416
479.377361 464.700057 407.978153
481.056469 466.610403 408.729406
482.735577 467.852973 409.341835
484.414685 468.414161 409.358279
486.093793 468.213872 408.613047
487.772901 466.328420 405.605619
489.452009 462.353948 401.700127
491.131117 456.556459 396.918659
492.810225 448.661992 390.821987
